,redeem_status,name,bonus,cumulativevalue,netvalue,fund_id,daily_growth_rate,apply_status,netvalue_date
4841,场内卖出,中融日日盈交易型货币A,,0.8761,0.8761,511930,3.1670%,场内买入,2018-03-23
4842,场内卖出,中融日日盈交易型货币A,,0.8646,0.8646,511930,3.1640%,场内买入,2018-03-22
4843,场内卖出,中融日日盈交易型货币A,,0.8764,0.8764,511930,3.1590%,场内买入,2018-03-21
4844,场内卖出,嘉实快线货币H,,1.0030,1.003,511960,4.0260%,场内买入,2018-03-18
4845,场内卖出,广发添利货币ETFA,,0.3559,0.3559,511950,1.2430%,场内买入,2018-03-19
4846,场内卖出,广发添利货币ETFA,,0.7242,0.7242,511950,1.3510%,场内买入,2018-03-18
4847,场内卖出,广发添利货币ETFA,,0.3586,0.3586,511950,1.5610%,场内买入,2018-03-16
4848,场内卖出,银华日利A,,117.8910,101.01,511880,0.03%,场内买入,2018-03-16
4849,场内卖出,银华日利A,,117.8590,100.978,511880,0.01%,场内买入,2018-03-15
4850,场内卖出,银华日利A,,117.8480,100.967,511880,0.01%,场内买入,2018-03-14
4851,场内卖出,招商财富宝交易型货币E,,1.2360,1.236,511850,4.5830%,场内买入,2018-03-20
4852,场内卖出,中融日日盈交易型货币A,,0.8195,0.8195,511930,3.1450%,场内买入,2018-03-20
4853,场内卖出,中融日日盈交易型货币A,,0.8040,0.804,511930,4.2370%,场内买入,2018-03-19
4854,场内卖出,中融日日盈交易型货币A,,1.7396,1.7396,511930,4.2580%,场内买入,2018-03-18
4855,场内卖出,中融日日盈交易型货币A,,0.8698,0.8698,511930,4.2340%,场内买入,2018-03-16
4856,场内卖出,金鹰增益货币E,,1.1590,1.159,511770,4.1870%,场内买入,2018-03-27
4857,场内卖出,金鹰增益货币E,,1.1322,1.1322,511770,4.1450%,场内买入,2018-03-26
4858,场内卖出,金鹰增益货币E,,1.1299,1.1299,511770,4.1180%,场内买入,2018-03-25
4859,场内卖出,金鹰增益货币E,,1.1299,1.1299,511770,4.0870%,场内买入,2018-03-24
4860,场内卖出,金鹰增益货币E,,1.1285,1.1285,511770,4.0570%,场内买入,2018-03-23
4861,开放赎回,德邦现金宝E,,0.3254,0.3254,511760,1.6520%,暂停申购,2018-01-25
4862,开放赎回,德邦现金宝E,,0.4196,0.4196,511760,1.6560%,暂停申购,2018-01-24
4863,开放赎回,德邦现金宝E,,1.0768,1.0768,511760,1.5640%,暂停申购,2018-01-23
4864,开放赎回,德邦现金宝E,,0.3163,0.3163,511760,1.1240%,暂停申购,2018-01-22
4865,场内卖出,德邦现金宝E,,0.6690,0.669,511760,1.0850%,暂停申购,2018-01-21
4866,场内卖出,德邦现金宝E,,0.3345,0.3345,511760,0.9950%,暂停申购,2018-01-19
4867,场内卖出,易方达货币E,,1.1369,1.1369,511800,4.1090%,场内买入,2018-03-27
4868,场内卖出,易方达货币E,,1.1368,1.1368,511800,3.9710%,场内买入,2018-03-26
4869,场内卖出,易方达货币E,,2.5550,2.555,511800,3.8310%,场内买入,2018-03-25
4870,场内卖出,易方达货币E,,1.0024,1.0024,511800,3.7420%,场内买入,2018-03-23
